GLCNACPTRANS-RXN	ACGAMT
RXN0-366	GNNUC
TRANS-RXN-234	GLUt7l
TRANS-RXN-232	GLUt7l
ASNSYNA-RXN	ASNS2
RXN-9138	UDCPDPS
H2PTERIDINEPYROPHOSPHOKIN-RXN	HPPK
DXPREDISOM-RXN	DXPRIi
RXN-9794	AKR1D2
FORMAMIDASE-RXN	FORAMD
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	HSERTA
PROSTAGLANDIN-D-SYNTHASE-RXN	PGDI
1.5.1.15-RXN	MTHFD2
LYSDECARBOX-RXN	LYSDC
35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN	PDE4
GAPOXNPHOSPHN-RXN	GAPD
GLUC1PURIDYLTRANS-RXN	GALU	
PYRUFLAVREDUCT-RXN	PFOR
F16ALDOLASE-RXN	FBA
RXN-8631	FBA2
TRIOSEPISOMERIZATION-RXN	TPI
SULFITE-REDUCTASE-FERREDOXIN-RXN	SULR2
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	SUCD
PRPPSYN-RXN	PRPPS
ISOCITDEH-RXN	ICDH
RXN-14047	ACONT
ACONITATEHYDR-RXN	ACONT2
F16BDEPHOS-RXN	FBP
HOMOSERDEHYDROG-RXN	HSD
QOR-RXN	NADPHQR
1.97.1.8-RXN	PCERD
TCEREDCHLOR-RXN	TCERD
